ENG; UKR; RUS;
Main; Головна; Главная;
Registration; Регістрація; Регистрация; 
Authorization;	Авторизація; Авторизация;
Enter; Вхід; Вход;
Contacts; Контакти; Контакты;
Project; Про проект; О проекте;
Show_password; Показати пароль; Показать пароль;
Necessery_field; Необхідне поле; Обязательное поле;
Remember; Запам`ятати; Запомнить;
Save; Зберегти; Сохранить;
Comment; Коментувати; Комментировать;
Cancel; Відмінити; Отменить;
Authorization_ERROR; Помилка Авторизації; Ошибка Авторизации;
Allowable_symbols; Допустимі символи; Допустимимые символы;
ERROR; Помилка; Ошибка;
email_exists; такий email існує; такой email существует
ERROR_DB; Помилка занесення данних, повторіть будьласка пізніше; Ошибка занесения данных, повторите регистрацию позже;
You_are_registered; Вас зареєстровано; Вы зарегистрированы;
Exit; Вихід; Выход;
Settings; Установки; Установки;
Ok; Ok; Ok;
Delete; Видалити; Удалтиь;
Groups; Групи; Группы;
Create; Створити; Создать;
Users; Користувачі; Пользователи;
